author,rating,date,review_text
Арлан Толеуханов,5,9 апреля 2025,"Посетили ресторан Shafran и остались в полном восторге! Интерьер заведения просто великолепен — стильный и уютный, создаёт атмосферу уюта и комфорта. Обслуживание было на высшем уровне: официанты очень внимательны и с радостью посоветуют блюда на вкус. Особую благодарность хотелось бы выразить администратору Махлио — её внимание и профессионализм сделали наш визит ещё более приятным. Мы чувствовали себя как дома, и она была готова помочь по любому вопросу. Блюда — настоящий шедевр! Мы пробовали несколько традиционных блюд и были приятно удивлены их качеством и вкусом. Особенно хочется отметить плов — он был безупречным, с идеальным соотношением специй и мяса. А десерт — просто на высоте! В Shafran хочется возвращаться снова и снова. Рекомендую всем, кто ищет не только вкусную еду, но и отличный сервис."
Dastan Tleugazy,5,9 апреля 2025,Когда людей было много и официанты не успевали администратор Махлио помогала нам с заказами и с нахождением столика. Персонал очень дружелюбный. Спасибо за оперативность
Элиф Миралиева,5,"9 апреля 2025, отредактирован","Я хочу выразить благодарность за высший уровень обслуживания!И за внимание к гостям. Спасибо администратору Махлио была очень вежливой и внимательной 🤗
Всем, кто ищет качественный обслуживание и индивидуальный подход , обращайтесь именно сюда ."
Ильфат Саматулы,5,9 апреля 2025,Шафран ужымына рахмет салаттары дамди екен ! Кызмет корсеткен Дана ханымга рахмет
Албан Аман,5,9 апреля 2025,Шафран асханасы унады рахмет ! Кызмет корсеткен Данага рахмет
Азамат Ержанов,5,"9 апреля 2025, отредактирован",Отличное место все очень понравилось. После ремонта стало еще лучше будем приходить каждую неделю. Сервис понравился Админы официанты знают свою работу.Спасибо большое!!!
Алма Кусаинова,2,9 апреля 2025,"Очень уютно, красиво внутри. Но лагман не такой вкусный, и мясо оочень мало положили, почти одно тесто."
Mustafa Lev,5,9 апреля 2025,"После ремонта прям очень атмосферно. Еда вкусная, официанты быстрые👍🏻
Отдельный рахмет админу Самиру. Очень компетентный человек)"
A S,5,"9 апреля 2025, отредактирован","Администратор Самир — красавчик, всё чётко организовал. Еда очень вкусная, всё понравилось! Сидели с друзьями, обязательно придем еще раз"
Айым Аймухаметова,5,7 апреля 2025,Все было вкусно и красиво.Интерьер тоже очень красивый и эстетичный😍Официантка Даяна очень приветливая и очень красивая 🤭🥹
Aruzhan Seydegali,5,7 апреля 2025,"Интерьер супер😍 все эстетично, можно сделать классные фотографии. Даяна очень приветливая,обслуживает с улыбкой☺️ +еда вкусная🤭"
Ramazan Bolat,5,"7 апреля 2025, отредактирован",Люблю шафран
Амир .,5,"7 апреля 2025, отредактирован",Отличное обслуживание
Галия Батырханова,5,6 апреля 2025,"Официант Данаға үлкен рахмет, быстрое и качественное обслуживание👍🏻
Очень довольна!
Все вкусно 🥹"
Nurbol Mukhataev,5,6 апреля 2025,"Все было вкусно
Официант Дана спасибо 👍"
Рима Тлепова,5,6 апреля 2025,"Хорошая кухня, адекватные цены, парковка маловата, вежливое обслуживание. Официанты шустрые, хочу отметить особо официанта Жулдыз , всегда мило приветствует, уточняет детали. Очень приятно!"
Толик Полик,5,6 апреля 2025,"Атмосферно ! Вкусно! Приветливый персонал , официанту Жулдыз Рахмет 👍"
Zhaiyk Seitkalyk,1,6 апреля 2025,"Обслуживание өте төмен .
Сағат 18.00 ге броньдап тамақтарды алдын ала заказ беріп кеттім .
18.00 де қонақтар келді бірақ стол пустой . 18.00 де бәрі дайын болса дедім бірақ салаттар 6.30 да келді .
Қонақтар пустой столда отырғанын қаламай , бір күн бұрн заказ беріп қойғанмын , бірақ оффициант даже білмеді біз 6 да келетінімді , және осындай моменттер өте көп
Сервировка ауыстырылмайды . Чай алып келгенде қасық , пиала бәрін отдельно сұрап алып келгенін куту керек . Қонақтардың алдында ыңғайсыз тұрып тұрдым әрдайым оффициантты іздеп ."
U A,5,5 апреля 2025,"Шафран” кафесіне жиі келем. Тамақтары өте дәмді, әсіресе «Лағман Жаһан» деген түрі ерекше ұнайды. Қызмет көрсетуі де жақсы, бағасы да қолжетімді. Ұсынамын
Даяна деген кыз өте жаксы жумыс аткарды"
Ramazan Abdusayk,5,5 апреля 2025,"Приятно было посетить кафе Shafran, и это во многом благодаря замечательному обслуживанию Даяны. С первых минут она создала атмосферу уюта и дружелюбия. Быстро и профессионально ответила на все вопросы по меню, посоветовала отличные блюда, и мы остались очень довольны. Даяна была всегда рядом, но при этом не навязчиво, что сделало наш вечер еще более приятным. Очень благодарны за внимание к деталям и отличный сервис!"
Мунара Калиева,5,"5 апреля 2025, отредактирован","Очень вкусно , быстро и чисто"
добро и мир,5,"5 апреля 2025, отредактирован","Сегодня побывали с семьей, все очень вкусно, Даяна прекрасно обслуживание, спасибо ей 10/10👍👍👍😍"
Ахметуали .,5,5 апреля 2025,"Все прекрасно, спасибо за
обслуживание Даяне😘✊"
Zhanbota Ryskulbek,5,"5 апреля 2025, отредактирован",Офицантка Даяна 👍 қызмет көрсету 👍👍👍👍👍😘 спасибо
Айгерим Аязбаева,5,5 апреля 2025,"Нам все понравилось!Все было вкусно!Спасибо Даяне,обслуживание 👍"
Zhuzim Temirbekova,5,5 апреля 2025,Даяна супер👍👍❤️🌹молодец✅👍
D 💎,5,5 апреля 2025,Даяна оф молодец👍🔥 жақысы қызмет көрсетті рахмеет🙏🏻
Томирис Болатқызы,5,5 апреля 2025,Хороший ресторан
Ayan Myrzagali,5,5 апреля 2025,Очень хороший ресторан оффицианты добрые особенно даяна тебе отдельное спасибо еда вкусная ✊🏻👍
Нурсулу Исаева,5,5 апреля 2025,"Посетили кафе Шафран и очень остались очень довольными обслуживанием .
Особенно хочу поблагодарить Офф Даяну
И хотела отметить салату очень вкусныеее"
FARIDA,5,5 апреля 2025,"Вчера мы были у вас ,было очень вкусно нас обслуживала даяна
Она очень внимательная и вежливая"
Бакдаулет Ерзат,5,5 апреля 2025,"Хороший интерьер
вкусные блюда,сервис 👍Даяна молодец"
Бинур Скакова,5,3 апреля 2025,"Было очень вкусно спасибо, особенно официанту Жулдыз очень приветливая, вежливая 😊☺️"
Алымжан Куанов,5,3 апреля 2025,"Очень вкусно, хорошее обслуживание, спасибо официантам и отдельная благодарность администратору Акрам за профессиональный подход к работе 🔥"
Ильяс Оразбек,5,3 апреля 2025,Администратор Акрам очень хорошо справляется со своей работой . Благодарю за помощь в ситуации которая произошла с нами
Aruzhan Argimbekova,3,"3 апреля 2025, отредактирован",чо так долго подаете
Фазила Шубаева,5,2 апреля 2025,"Очень красивое и уютное заведение. Отличный обслуживающий персонал.Вкусная еда. Мне понравилась официантка Куралай, позитивная девушка."
Adema Amirzhan,5,2 апреля 2025,"Өте керемет кафе .Құралай официант керемет қызмет көрсетеді ,сыпайы .Обслуживание 10/10 👍"
Ердаулет .,5,"2 апреля 2025, отредактирован","Диана офицант керемет кызмет жасады 👍🏾
Келын болатын кыз екен"
Мейрамбек Нуралы,5,"2 апреля 2025, отредактирован",Мен Shafran кафесінің тұрақты клиентімін .маған осы филиалдың тамақтары ерекше ұнады!👍🏼Әсіресе Диана қарындасымның қонақтарды күтуі қатты ұнады🔥Қызметтеріңізге рахмееет🤝🔥🔥🔥🔥Shafran тағамдарының дәмін татып көріңіздер !
Leonid Pak,5,2 апреля 2025,"Недавно посетил ресторан Шафран и остался очень доволен обслуживанием. Особенно хочется отметить администратора Акрама. С первых минут он проявил внимание, был вежливым и доброжелательным.

Акрам действительно заботится о гостях: помогает с выбором блюд, быстро решает любые вопросы и делает всё, чтобы в ресторане было комфортно. Видно, что он профессионал своего дела и искренне любит свою работу.

Благодаря такому подходу в Шафран хочется возвращаться снова. Большое спасибо за отличный сервис!"
Doritos 😎,5,2 апреля 2025,Работа администратора Акрама просто идеальная!
Бахыт Касымкызы,2,"2 апреля 2025, отредактирован",Нет парковки😒
Гулзар Даулетбакиева,5,1 апреля 2025,"Были у Вас в заведении,все очень понравилось,кухня очень вкусная и обслуживание тоже отличное,хотелось бы отметить официанта Усмана👍👍👍"
амина турсунмахамедова,5,1 апреля 2025,"Ооочень вкусно!!!!еда,обслуживание и атмосфера в заведении просто на высоте!!Отдельное спасибо админу Акраму,за внимательность и заботу о гостях👏🏻👏🏻👏🏻👏🏻"
Ирада Аюпова,5,1 апреля 2025,"Хочу выразить благодарность администратору Акраму за отличный сервис! Очень внимательный, вежливый и профессиональный. Создал приятную атмосферу, помог с выбором блюд и сделал посещение ресторана ещё более комфортным. Спасибо за тёплый приём! Обязательно вернёмся снова."
Lamiris Azat,5,1 апреля 2025,спасибо администратору Акраму за отличную работу и внимание к гостям!👍🏻
Aziza A,5,1 апреля 2025,"Очень приятное заведение,была с подругами,красивый интерьер что очень важно для нас девушек,приятная музыка,администратор Акрам очень хорошо выполняет свою работу,профессионал своего дела,хорошо поставленная речь,все рассказал показал,обязательно придем еще раз!!🫰🏻🥰"
Amira Muratkaliyeva,5,1 апреля 2025,"Отличный вечер! Сервис на высшем уровне, спасибо Администратору Акраму что позаботился обо всем! Вкусно и приятно за сервис"
Квай Гон Джин,5,1 апреля 2025,"Доброго времени суток !
Хотелось бы отметить качество еды и обслуживание гостей этого заведения.
Комфорт и приятная атмосфера с комбинацией приятного интерьера создает ощущение прекрасного.
Персонал данного завдения очень хороший !
Обслуживание на 10/10
Но особеноо я хотел бы подметить прекрасного и удивительного администратора- Акрама.
Своим профессионализмом и феноменальной харизмой он сделает ваше времяпровождение в этом заведении красочнее"
Бейбит Тельбаев,5,1 апреля 2025,"Спасибо Акраму , все сделано по красоте"
Самира Исмаилова,5,1 апреля 2025,Спасибо администратору Акраму за работу! Вернемся снова 😁
Ирада Тохтасунова,5,"1 апреля 2025, отредактирован","Недавно мы с семьей посетили ресторан “Шафран”, и особенно хотелось бы отметить работу администратора Акрама. С самого входа он встретил нас с улыбкой, помог выбрать удобный столик и учел все наши пожелания. Обслуживание было на высшем уровне – быстрое, вежливое и ненавязчивое.
Акрам внимательно следил за тем, чтобы гостям было комфортно, оперативно решал любые вопросы и создавал приятную атмосферу. Чувствуется, что он настоящий профессионал своего дела, который любит свою работу.
Спасибо за отличный сервис! Обязательно вернемся снова.🥹🤍"
Усман Байдулла,5,1 апреля 2025,Ануар красавчик жаксы тамак оте дамды
Самира Таджиханова,5,31 марта 2025,"Было очень вкусно, и интерьер красивый. Осталась довольна и кухней и обслуживанием. Отдельное спасибо официантке Диане, очень вежливая девушка.❤️"
Erasyl .,5,31 марта 2025,"Было очень вкусно, и хотели отдельно поблагодарить Даяну,она очень хорошо обслуживала"
Shuhrat Sautov,5,31 марта 2025,Вкусно очень советую всем!
Инара М.,5,31 марта 2025,"вежливый персонал, уютно, а самое главное оочень вкусно!😍"
Динара Муталипова,5,"31 марта 2025, отредактирован","Уютно, вкусно, вежливо!👍"
Алибек Алибеков,5,31 марта 2025,Дияна Санжар оте оте керемет дамди жане тез жылдам баллар жарайсындар жумыста тек саттилик алгысымыз шексиз рахмет коп коп
Jamalai Malsagov,5,"31 марта 2025, отредактирован","Сегодня были на Ифтаре . Все очень понравилось , начиная с кухни заканчивая персоналом . Уютная атмосфера . 🫶🏻 как дома ❤️"
Togzhan Daulet,4,"31 марта 2025, отредактирован","Ұнады, рахмет. Күлімсіреп қызмет атқарып жүрген Жансая ханмға ерекше алғыс🫶🏻"
Amina,3,"30 марта 2025, отредактирован","Посетили ресторан, блюдами остались довольны. Хотелось бы чтобы внимательнее относились за подбор персонала, а лично сотрудница АНЕЛЬ не умеет работать с клиентами, ходит как будто её кто-то заставляет выполнять её же обязонности. Спасибо управляющей, всё с ней обсудили и принесла извинения за некомпетентную официантку и сделали скидку. Подача была ужасно долгой, блюда приносили в разное время еле дождались, хотя заранее за 3 часа все заказали, чтобы на ифтар успеть. Желания повторно посетить ресторан не осталось. Спасибо."
Анелочка ❤️‍🔥,5,30 марта 2025,"Ернар лучший официант🥰 все прекрасно, покушали славно"
Ardak Zhusupbekova,5,29 марта 2025,Прекрасно провели время! Даяна - молодец! Придем еще. Рекомендуем!
Gabeke .,5,"29 марта 2025, отредактирован","Тамақтары өте дәмді екен, шұғылаға рахмет"
Мырзагүл Бәйтікқызы,5,29 марта 2025,"Шай ішіп кетсең қайтеді Даяна ұсынған кесемен ❤️🥹😆
Тамаша Даянаға рақмет"
Ali KAD,1,29 марта 2025,Өмірі телефон көтермейді
Балжан Өтебай,5,28 марта 2025,Барлығы өте дәмді болды😋😋 Официантка Даянаға өте жоғары деңгейде көрсеткен қызметі үшін алғысым шексіз😘 Ұжымға тек даму тілеймін🤍
Moldir Sagymbek,5,28 марта 2025,Понравилось очень) суп и стейк из форели оболденный) персонал вежливый) спасибо отдельно Даяне ) очень милая девушка) советую !!!
Makpal Assylbekkyzy,5,28 марта 2025,"Все было очень вкусно, заказ принесли очень быстро. Обслуживала Перизат, ей большое спасибо."
Гаухар,5,28 марта 2025,"Очень вкусно и приятное обслуживание, благодарим официанта Мансур"
Нуржамал Омирбек,5,28 марта 2025,"Все очень вкусно, все чисто, официанты очень приветливые. Все понравилось 👍👍👍"
Рассул Нурмухаметов,5,28 марта 2025,"Сделал пред заказ на ауыз ашар все было на столько вкусно я и мои друзья теперь ваши постоянные гости спасибо за теплый прием и уютную атмосферу официанты Анель Перизат и Диана хорошо нас обслужили все быстро принесла мы доволены, будем чаще посещать 👍"
Apple User,5,28 марта 2025,Спасибо большое все очень вкусно и отдельное спасибо Даяне👍👏🏻🫶🏻
Klara Ismailova,5,"28 марта 2025, отредактирован",Даяна лучшая👍👍👍 спасибо все очень вкусно
Жансая Кемелбай,5,28 марта 2025,Бәрі өте дәмді👍
Вика Смирнова,2,28 марта 2025,"Странно очень странно, почему мой отзыв удалили."
Марьям Сакенова,5,27 марта 2025,Все очень понравилось
Фарух Нурдунов,5,27 марта 2025,"Альхамдулиллах что есть такое заведение , халяль . Все вкусно . БаракАллах фикум"
Максат Тулеуов,5,"27 марта 2025, отредактирован",Перезат 👍👍👍
Жулдызхан Таханов,5,27 марта 2025,Перизат лучшая
Aiaulym Aidynovna,5,"27 марта 2025, отредактирован","Спасибо официантке Перизат , хорошо знает свою роботу, она вежливая и приятная девушка. Еда тут очень вкусная. Рекомендую всем ❤️"
aida kudaibergen,5,27 марта 2025,"Сегодня посетили Шафран, и остались в полном восторге! Атмосфера очень уютная и интерьер очень стильный, создают комфортную обстановку. Отдельно хочется отметить обслуживание и поблагодарить Анель и Перизат– персонал вежливый, внимательный и дружелюбный. Обслужили быстро и оперативно, бронировали зал но оказалось бронь очень удачно поставили на топчан. Гостям все понравилось. Спасибо😍❤️‍🩹"
Sultan Arystanbek,5,27 марта 2025,Самый любимый шафран . Сервис улучшился ! Кухня самая вкусная ! Рахмет
Ксения Пак,5,27 марта 2025,"Именно в эту точку приходим уже в который раз и каждый раз довольны!
Спасибо персоналу за улыбчивость и хорошее обслуживание.
Девушка в хиджабе Динара каждый раз подходит и проявляет свою внимательность по отношению к нам, это очень ценно для нас. Спасибо ей отдельное за профессионализм!"
Светлана Пак,5,27 марта 2025,"Все очень понравилось ! Интерьер , еда , сервис 😍 приветливый персонал . Придем снова Ин Ша Аллах😍"
Дарига Накысбекова,5,27 марта 2025,"Бугн Шафран ауыз ашар уйымдастырдык
Кызметтерине мын алгыс
Бешбармак дами керемет
Бари ойдагыдай отти
Оф Анель оз исин шебери
Жумс алга журе берсин 👍🏻😀"
Бота Несипбекова,5,27 марта 2025,"Сидели на топчанах
Спасибо большое Анеле, за хорошое и быстрое обслуживание 👍🏻👍🏻"
Lexa N,5,"27 марта 2025, отредактирован","Хорошое обслуживание, Анель очень спасибо 🙏🏼"
Токтаган Кенжебек,5,27 марта 2025,"Обмлуживание керемет
Тамактары дамди"
Aida Agabekova,5,"27 марта 2025, отредактирован","Вкусная еда, уютная атмосфера и приветливый персонал. Обязательно вернусь снова, спасибо большое 😊"
Назгуль Макеева,5,27 марта 2025,"Вчера были на ауызашар с подругами , место понравилось , меню тоже , все во время, успевали ! Спасибо официанту Перизат за обслуживание 😍"
A S,5,27 марта 2025,"Очень красивое место просто идеально так и для семьи так и для друзей все красиво и вкусно особенно советую гуйру лагман и чебуреки

Официант Дильназ очень внимательна и вежливая!"
Сара Тенгелова,5,26 марта 2025,Рахмет көп көп тамақтары өте дәмді плов вапще зорғо❤️😍
Аружана Тлеубай,5,26 марта 2025,"Спасибо большое официанту Даяна, все было замечательно вкусно
Даяночка на все 100 обслужила , профессионал 👍🏻вежливая, приятная
Благодаря такому персоналу хочется все больше возвращаться"
Сабина Н,5,26 марта 2025,"Сегодня пришли на Ифтар , было все вкусно, сытно, интерьер очень красивый после реставрации, спасибо большое Даяне , приветливая очень"
Анар Амирова,1,"25 марта 2025, отредактирован",Лағмандары ужас болды🫣
Olzhas Kaidar,5,"25 марта 2025, отредактирован",Шафран после рестайлинга стал просто бомбой
Городская легенда,5,"25 марта 2025, отредактирован","Кафе Шафран приятно удивил! Вкусная кухня, каждое блюдо приготовлено с любовью и вниманием к деталям. Атмосфера уютная, персонал вежливый и внимательный. Отличное место для приятного отдыха и вкусного ужина. Обязательно вернёмся снова!"
Kami Erlanovna,5,25 марта 2025,"тамақтары дәмді, қызмет етуде тез, Даяна даяшыға рахмет🫶🏻"
Жасулан Арипхан,4,25 марта 2025,Анам екеуміз ауыз аштық тамақтары дәмді болды. Даяна дайршыға рахмет жақсы қызмет көрсетті Рахмет!
Akzhol Erlanuly,2,"25 марта 2025, отредактирован","Подача не в свое время
+ не полностью принесли
Запутались официанты"
Aidana Malikhanova,5,"25 марта 2025, отредактирован","Шафранда кашан болдым деп шошып кеттымгой😂. Подругаммен ифтарга бардык, салат заказ бергем, ышындегы авокадо катты прям 🥹 А так намана"
Рауия Абдрахым,5,"25 марта 2025, отредактирован",Все очень вкусно 🤩 и сервис просто 🔥
Шахида Насырова,1,24 марта 2025,"Сегодня были у вас,для чего берется заказ заранее, если все равно приносят все через час. На соседних столиках уже доедали и уходили, а мы еле дождались своего заказа . Блюда вкусные. Но официантов очень мало на столько столов обслуживания.
Посетила 24.03.25г, время 17:40-19:00ч, сумма чека 16302тг. Бронь на имя Шахида. Так что не надо кидать мой комментарий в неподтвержденные🤚🏻"
Диас Белсариев,5,24 марта 2025,"Shafran мейрамханасына үлкен алғысымды білдіремін!

Бұл мейрамхана өзінің ерекше атмосферасымен, керемет ас мәзірімен және жоғары деңгейдегі қызметімен қуантады. Әсіресе, бізге қызмет көрсеткен Адемова ханымға ерекше ризашылығымды білдіргім келеді. Ол өте сыпайы, ықыласты және өз ісіне жауапкершілікпен қарайтын жан. Оның кәсібилігі мен мейірімділігі кешімізді одан әрі ерекше етті.

Shafran – дәмді тағам мен жайлы ортаны бағалайтындар үшін тамаша орын! Келесі жолы да міндетті түрде келеміз.

Рахмет сіздерге!"
__—_—__Nurik__—_—__ ☠️,5,24 марта 2025,"Очень красиво, тихо, обслуживание на высшем уровне, все вкусно отдельно хочу поблагодарить официантку Перизат на быстрое обслуживание...... Спасибо всем очень вкусно"
Бала Қ,5,"24 марта 2025, отредактирован",Шафранға тамақ ішуге келдым тамақтары өте дәмді лағыман паста суши супер қызмет көрсету 10/10 тамақтарды өте тез алып келды
Қасым Кемел Тоқаев,5,24 марта 2025,"Прекрасный интерьер, быстрая подача блюд.Хорошое обслуживание. Пришли с друзьями, посидели, очень уютно. Спасибо официантам и администратору!!!"
Azamat Zharkynbekov,5,24 марта 2025,"Кеше тамақтануға бардық, қызмет көрсету сапасы өте керемет, тамақтары дәмді, порциялары үлкен екен тағы да қайта келеміз, рахмеет үлкеен ✊"
Феруза Насипкалиева,5,24 марта 2025,"Очень уютное кафе, вежливый персонал, вкусная еда. Так держать 🫶🏻🫶🏻🫶🏻"
Мэdi MMM,5,24 марта 2025,"Огромное спасибо всему персоналу за теплый прием, теперь будем вашими постоянными гостями ❤️❤️❤️"
Аймани Рузиметовп,5,24 марта 2025,"Я забыла когда в последний раз видела такой ажиотаж в других кафе, официанты молодцы, летали по залу, я в восторге от них и от кухню. Все во время, вкусно. Низкий поклон , удачи"
Любовь Леонидовна,5,24 марта 2025,"Если вы хотите быстро и вкусно перекусить, вам сюда. Девочке на входе спасибо, что при полной посадке нашла нам место . Процветания"
